	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
48	AL136322.1	548	NR_047564	5200	483.0	261	261	100.0	9606
49	AL136322.1	548	XM_016934919	5647	110.0	59	59	100.0	9598
50	LINC00544	1031	NR_033889	709	1286.0	696	696	100.0	9606
51	LINC00544	1031	XM_016925639	479	719.0	389	410	98.293	9598
52	AC108174.1	745	XR_948506	1936	1360.0	736	736	100.0	9606
53	AC104695.1	849	AC104695	157665	1304.0	706	706	100.0	9606
54	LINC01208	827	NR_109968	822	1519.0	822	822	100.0	9606
55	LINC01208	827	XR_127425	895	1480.0	801	822	99.148	9598
56	AL365181.2	3222	XR_922175	9468	5951.0	3222	3222	100.0	9606
57	AL365181.2	3222	AC198057	176397	355.0	192	333	86.486	9598
58	AC090023.1	443	AC090023	114177	562.0	304	307	99.674	9606
59	AC105999.1	473	AC234451	41624	337.0	182	182	100.0	9606
60	AC105999.1	473	AC159022	185833	62.1	33	42	92.857	9598
61	AC026787.1	420	AC034214	108661	462.0	250	250	100.0	9606
62	BX546450.2	435	BX546450	41214	689.0	373	373	100.0	9606
63	BX546450.2	435	XM_016944436	2508	662.0	358	380	98.158	9598
64	AL359094.2	750	XR_001747640	3044	767.0	415	415	100.0	9606
65	AL359094.2	750	XM_024346671	7091	141.0	76	76	100.0	9598
66	LINC00905	1768	NR_024335	1728	3157.0	1709	1709	100.0	9606
67	LINC00905	1768	XR_001711654	6386	1871.0	1013	1089	97.704	9598
68	AC067969.1	552	CP068259	61707359	776.0	420	420	100.0	9606
69	AC067969.1	552	AC193210	210661	749.0	405	420	98.81	9598
70	KCNAB1-AS2	538	NR_046617	538	994.0	538	538	100.0	9606
71	AC093734.1	242	AC093734	114085	228.0	123	123	100.0	9606
72	LINC02383	582	NR_146993	579	1070.0	579	579	100.0	9606
73	LINC02383	582	XR_001716623	508	867.0	469	487	98.768	9598
74	AC019254.2	556	AC019254	179030	682.0	369	369	100.0	9606
75	AC114808.1	432	NG_029707	431832	407.0	220	220	100.0	9606
76	AC092725.1	499	NM_001145545	2240	809.0	438	438	100.0	9606
77	AC092725.1	499	AK306730	2332	682.0	369	438	95.205	9598
78	AC008652.1	469	AC109441	89908	246.0	133	133	100.0	9606
79	LINC01217	562	AC034150	150167	920.0	498	498	100.0	9606
80	AC016885.1	532	AC210702	40747	411.0	222	222	100.0	9606
81	AC022784.1	3442	NR_040039	3442	6357.0	3442	3442	100.0	9606
82	AC022784.1	3442	XR_002937661	1578	1312.0	710	767	97.653	9598
83	LINC02562	785	AC110760	171632	1212.0	656	656	100.0	9606
84	LINC02562	785	AC191871	168863	75.0	40	61	88.525	9598
85	LINC02562	785	AC115305	155389	56.5	30	54	85.185	10090
86	AC108097.1	534	AC108097	181387	636.0	344	347	99.712	9606
87	AL035541.1	823	AP023480	62398354	990.0	536	536	100.0	9606
88	LINC01815	1409	AC012075	185437	1653.0	895	895	100.0	9606
89	LINC01815	1409	XR_001715557	3251	662.0	358	907	80.595	9598
90	LINC01815	1409	XM_025001216	8691	235.0	127	506	76.285	9913
91	LINC01815	1409	AC124133	195876	65.8	35	60	86.667	10090
92	AC138907.3	262	CP068262	96330493	361.0	195	195	100.0	9606
93	AC138907.3	262	AC145882	197080	355.0	192	195	99.487	9598
94	LINC02220	270	NR_147005	527	499.0	270	270	100.0	9606
95	AC025465.4	638	AC025465	142148	1179.0	638	638	100.0	9606
96	AC073636.1	563	XR_923605	1705	1040.0	563	563	100.0	9606
97	AC091939.1	795	AC091939	190346	929.0	503	503	100.0	9606
98	AC091939.1	795	AL669871	208519	148.0	80	225	79.111	10090
99	LINC02366	696	NR_120463	771	1286.0	696	696	100.0	9606
100	LINC02366	696	XR_001707873	1412	856.0	463	481	98.753	9598
101	AC009117.2	1198	XR_933800	1066	1027.0	556	556	100.0	9606
102	AC009117.2	1198	AC157574	216443	235.0	127	219	86.301	10090
103	CASC23	1563	NR_125366	1583	2887.0	1563	1563	100.0	9606
104	LINC01255	708	CP068260	80542536	950.0	514	514	100.0	9606
105	LINC01255	708	XR_002940492	396	335.0	181	199	96.985	9598
106	AL034397.2	857	AL034397	115218	1203.0	651	651	100.0	9606
107	AL136181.1	1924	AL136181	146909	2889.0	1564	1564	100.0	9606
108	AL136181.1	1924	XR_682788	3078	156.0	84	87	98.851	9598
109	AL136181.1	1924	AC162384	172853	52.8	28	28	100.0	10090
110	AL135785.1	399	XR_001746669	496	361.0	195	195	100.0	9606
111	LINC00520	2084	NR_026796	2092	3818.0	2067	2067	100.0	9606
112	LINC00520	2084	AC152353	218326	137.0	74	89	94.382	9598
113	AC022796.1	477	NR_120554	477	881.0	477	477	100.0	9606
114	AC022796.1	477	XR_683063	713	837.0	453	477	98.323	9598
115	AC063977.3	547	NR_102324	1710	564.0	305	305	100.0	9606
116	AC063977.3	547	XR_001711896	793	416.0	225	243	97.531	9598
117	AC138907.1	2405	XR_001714807	2239	3936.0	2131	2239	98.392	9598
118	AC138907.1	2405	BC042588	2250	3901.0	2112	2239	98.124	9606
119	AL008723.2	562	XM_017028632	1080	911.0	493	493	100.0	9606
120	AL008723.2	562	AC159032	183880	763.0	413	493	95.132	9598
121	IGSF21-AS1	430	NG_027535	277738	547.0	296	296	100.0	9606
122	LINC01533	632	NR_110674	663	1164.0	630	630	100.0	9606
123	LINC01533	632	AC123713	183590	191.0	103	204	83.824	10090
124	AC005549.1	1629	AC005549	147416	3009.0	1629	1629	100.0	9606
125	AC005549.1	1629	XR_001710859	1393	2019.0	1093	1138	98.682	9598
126	AL359081.1	615	AL359081	109288	880.0	476	476	100.0	9606
127	AL512347.1	503	AL512347	84632	929.0	503	503	100.0	9606
128	AF240627.1	879	AL163218	340000	1098.0	594	594	100.0	9606
129	AF240627.1	879	BS000045	179114	1070.0	579	594	99.158	9598
130	AF240627.1	879	AC132326	153544	137.0	74	131	85.496	10090
131	AL162425.1	1525	NR_110950	1538	2817.0	1525	1525	100.0	9606
132	AL162425.1	1525	XR_682384	1525	2723.0	1474	1526	98.886	9598
133	AC027449.1	407	XR_935282	1743	752.0	407	407	100.0	9606
134	AC018693.1	550	AC018693	164125	955.0	517	520	99.808	9606
135	AC018693.1	550	XM_515423	4889	63.9	34	34	100.0	9598
136	C12orf80	1257	NR_164127	2025	2322.0	1257	1257	100.0	9606
137	C12orf80	1257	XM_003313688	996	1779.0	963	996	98.896	9598
138	C12orf80	1257	AC157583	185401	183.0	99	326	77.607	10090
139	AL157709.1	424	AL157709	133860	708.0	383	383	100.0	9606
140	AC005090.1	575	XR_927162	1053	994.0	538	541	99.815	9606
141	AC005090.1	575	XR_001719698	2300	972.0	526	538	99.257	9598
142	AC005090.1	575	AC084163	214292	150.0	81	96	94.792	10090
143	AC040904.1	223	NG_051107	141791	412.0	223	223	100.0	9606
144	LINC01109	3081	AK124684	3081	5690.0	3081	3081	100.0	9606
145	LINC01109	3081	XR_681936	2922	2643.0	1431	1459	99.383	9598
146	LINC01109	3081	AC113318	213409	1616.0	875	1777	83.793	10090
147	LINC01109	3081	CR387786	1324	933.0	505	1003	83.948	9031
148	LINC01109	3081	LR812086	42362946	191.0	103	162	88.272	7955
149	AC122129.2	466	CP068261	84277185	710.0	384	388	99.742	9606
150	AC137932.2	1205	AK293862	1205	2220.0	1202	1205	99.917	9606
151	AC137932.2	1205	XM_016930412	827	1190.0	644	693	97.691	9598
152	FOXN3-AS2	1262	NR_024620	1262	2331.0	1262	1262	100.0	9606
153	FOXN3-AS2	1262	AC134604	203284	315.0	170	448	80.357	10090
154	AL138799.2	343	AL138799	119561	569.0	308	308	100.0	9606
155	AL138799.2	343	XM_009429543	4284	69.4	37	37	100.0	9598
156	AC096992.2	1684	AC096992	50966	3110.0	1684	1684	100.0	9606
157	AC096992.2	1684	XR_002943206	1433	1162.0	629	639	99.531	9598
158	AL355482.2	1145	AL355482	74515	1386.0	750	750	100.0	9606
159	LINC02101	725	NR_104669	1175	1339.0	725	725	100.0	9606
160	LINC02101	725	XR_680171	1174	1275.0	690	724	98.481	9598
161	AC021785.1	453	AC021785	156232	396.0	214	214	100.0	9606
162	AC004241.3	517	AC004241	136877	955.0	517	517	100.0	9606
163	AL670729.2	480	AK074866	2525	420.0	227	227	100.0	9606
164	AL670729.2	480	XM_016940469	2711	289.0	156	159	99.371	9598
165	AL157400.4	667	NR_026835	3662	1232.0	667	667	100.0	9606
166	AL157400.4	667	XM_024346476	2235	442.0	239	245	99.184	9598
167	AC007652.1	562	AC009333	180019	987.0	534	538	99.814	9606
168	AC007652.1	562	AC147065	167103	931.0	504	538	97.955	9598
169	AC021698.1	716	NR_132968	846	1323.0	716	716	100.0	9606
170	AC010528.1	739	AC010528	168172	881.0	477	477	100.0	9606
171	AC010528.1	739	AC123843	205875	163.0	88	137	88.321	10090
172	AC009567.1	525	XR_939371	395	553.0	299	299	100.0	9606
173	AC009567.1	525	XM_016952430	1707	91.6	49	52	98.077	9598
174	AC099554.1	572	AC099554	164920	913.0	494	494	100.0	9606
175	AC099554.1	572	AC159256	179979	135.0	73	79	97.468	10090
176	AC108516.1	257	AC108516	186202	322.0	174	177	99.435	9606
177	AC008627.1	1704	NG_029052	210145	3147.0	1704	1704	100.0	9606
178	AC008627.1	1704	AC192447	203031	60.2	32	35	97.143	9598
179	AC008627.1	1704	AL928651	157883	52.8	28	28	100.0	10090
180	AC007406.4	765	NR_120475	761	1406.0	761	761	100.0	9606
181	AC007406.4	765	XR_002938708	1357	1057.0	572	690	94.928	9598
182	AC007406.4	765	JN959200	38832	97.1	52	93	86.022	10090
183	LINC00919	1658	NR_038233	1658	3062.0	1658	1658	100.0	9606
184	LINC00919	1658	XR_128925	1592	2693.0	1458	1504	99.003	9598
185	AC044810.3	589	NR_036678	2503	573.0	310	310	100.0	9606
186	AC044810.3	589	XR_682965	2499	518.0	280	310	96.774	9598
187	AC006153.1	371	DQ655995	834	375.0	203	206	99.515	9606
188	AC006153.1	371	XM_016945115	3612	374.0	202	205	99.512	9598
189	AC025183.2	428	AC025183	52443	580.0	314	314	100.0	9606
190	AL157955.2	467	NR_110121	426	569.0	308	350	96.571	9606
191	AL157955.2	467	XR_001709278	538	259.0	140	149	97.987	9598
192	AC011228.1	757	BC036261	770	1387.0	751	757	99.736	9606
193	AC011228.1	757	AC215812	164489	937.0	507	516	99.419	9598
194	LINC01895	404	NR_146506	481	747.0	404	404	100.0	9606
195	LINC01895	404	XR_002940431	477	713.0	386	404	98.515	9598
196	ABHD15-AS1	187	NM_198147	3492	291.0	157	160	99.375	9606
197	ABHD15-AS1	187	XM_523591	3585	272.0	147	160	97.5	9598
198	AC073062.1	455	AC073062	135822	632.0	342	342	100.0	9606
199	AC073062.1	455	AC175319	157271	281.0	152	301	83.721	9598
200	AC112481.1	901	AC112481	116996	1373.0	743	743	100.0	9606
201	AC097532.1	322	AC097532	190703	303.0	164	167	99.401	9606
202	AC097532.1	322	AC182734	209702	276.0	149	168	96.429	9598
203	AC090753.1	331	AF252828	146712	394.0	213	213	100.0	9606
204	AC004147.5	536	CP068261	84277185	990.0	536	536	100.0	9606
205	AP001628.1	285	AP001747	340000	311.0	168	168	100.0	9606
206	AP001628.1	285	BS000230	242704	259.0	140	169	94.675	9598
207	MIR193BHG	5365	NR_132983	5404	9899.0	5360	5360	100.0	9606
208	MIR193BHG	5365	AC192135	196883	8687.0	4704	5090	97.642	9598
209	AL138767.3	495	NG_012150	94987	603.0	326	326	100.0	9606
210	AC036176.3	418	CP068260	80542536	773.0	418	418	100.0	9606
211	AC036176.3	418	AC192338	222870	761.0	412	418	99.522	9598
212	AC090150.2	815	AC090150	210629	1122.0	607	610	99.836	9606
213	AL596223.2	434	NG_051555	54257	713.0	386	386	100.0	9606
214	AL596223.2	434	XM_016918465	3491	231.0	125	143	95.804	9598
215	AL596223.2	434	AC126428	225663	156.0	84	144	86.111	10090
216	INE2	1874	NM_007220	6837	3461.0	1874	1874	100.0	9606
217	INE2	1874	XM_001139130	6163	3312.0	1793	1874	98.666	9598
218	SLC12A9-AS1	369	NR_146550	374	678.0	367	367	100.0	9606
219	SLC12A9-AS1	369	AC190224	168932	473.0	256	268	98.507	9598
220	AC083841.3	349	AC083841	203375	488.0	264	264	100.0	9606
221	AL590432.1	566	NR_125988	575	1046.0	566	566	100.0	9606
222	AL590432.1	566	BS000608	194068	102.0	55	67	94.03	9598
223	AC114498.1	607	XR_933966	3213	1088.0	589	607	99.012	9606
224	ATP1B3-AS1	376	AC112504	215077	529.0	286	286	100.0	9606
225	AP000534.1	1294	NR_046104	1275	2327.0	1260	1276	99.608	9606
226	AP000534.1	1294	XR_673951	1526	2194.0	1188	1282	97.66	9598
227	CACNA1C-IT1	687	XR_001749433	8374	1269.0	687	687	100.0	9606
228	AC103855.3	606	KC951388	42540	981.0	531	531	100.0	9606
229	BX546450.1	482	NR_135614	499	891.0	482	482	100.0	9606
230	BX546450.1	482	XR_001714203	961	628.0	340	362	98.066	9598
231	AC087311.2	320	AC087311	159688	357.0	193	193	100.0	9606
232	UBOX5-AS1	1792	NR_038395	1794	3310.0	1792	1792	100.0	9606
233	UBOX5-AS1	1792	XR_001712086	1904	704.0	381	396	98.737	9598
234	UBOX5-AS1	1792	NM_001075669	2398	56.5	30	36	94.444	9913
235	AC079466.2	185	CP068259	61707359	311.0	168	168	100.0	9606
236	AC078860.1	527	AC078860	145165	547.0	296	296	100.0	9606
237	AC078860.1	527	XM_003313863	4599	226.0	122	125	99.2	9598
238	AP005059.2	578	CP068260	80542536	387.0	209	209	100.0	9606
239	AP005059.2	578	XR_001711233	7097	370.0	200	209	98.565	9598
240	AC027458.1	613	BC038762	628	1133.0	613	613	100.0	9606
241	AC027458.1	613	XR_675746	613	1027.0	556	613	96.9	9598
242	AC114752.2	404	AL355732	420	725.0	392	401	99.252	9606
243	AC006557.3	517	NM_145287	6760	756.0	409	517	93.037	9606
244	AC006557.3	517	XM_523986	2888	728.0	394	517	92.07	9598
245	AC073359.1	521	XR_001740569	601	963.0	521	521	100.0	9606
246	AC013549.3	419	NG_021302	277316	625.0	338	338	100.0	9606
247	AC013549.3	419	XM_001160670	6575	294.0	159	246	88.618	9598
248	LINC00364	611	NR_130792	645	1129.0	611	611	100.0	9606
249	LINC00364	611	AC217026	214854	270.0	146	432	78.704	9598
250	LINC01974	494	XR_001753126	791	913.0	494	494	100.0	9606
251	LINC01974	494	XR_001710572	611	902.0	488	494	99.595	9598
252	LINC00866	418	NR_108035	433	773.0	418	418	100.0	9606
253	AC009951.2	644	XR_001716219	1183	1014.0	549	564	99.113	9598
254	AC009951.2	644	AC009951	159791	545.0	295	295	100.0	9606
255	AC113398.2	558	AC113398	172613	1031.0	558	558	100.0	9606
256	AC113398.2	558	KT491967	412	117.0	63	101	88.119	9031
257	AC113398.2	558	AC127314	232320	111.0	60	125	84.0	10090
258	AC011773.2	285	XR_929123	998	527.0	285	285	100.0	9606
259	U51244.1	374	XR_940049	415	691.0	374	374	100.0	9606
260	U51244.1	374	XM_016948469	8215	381.0	206	209	99.522	9598
261	AC007349.2	553	CR749435	6171	1022.0	553	553	100.0	9606
262	AC007349.2	553	AC147033	188305	697.0	377	392	98.724	9598
263	AC140912.1	1054	NG_013211	1116047	1947.0	1054	1054	100.0	9606
264	AC140912.1	1054	XR_675056	2389	1480.0	801	816	99.387	9598
265	AC140912.1	1054	XR_238365	2313	863.0	467	837	86.022	9913
266	AC140912.1	1054	AC122865	201139	595.0	322	717	82.427	10090
267	AL355297.2	129	NG_066624	441754	239.0	129	129	100.0	9606
268	AL355297.2	129	AC126929	168712	158.0	85	122	90.164	10090
269	AC073964.1	308	AP023475	95537968	390.0	211	211	100.0	9606
270	AC018865.1	578	XR_923329	1194	1068.0	578	578	100.0	9606
271	AC018865.1	578	XR_002942792	2875	833.0	451	589	92.53	9598
272	AC091980.2	3056	AC091980	153133	5195.0	2813	2813	100.0	9606
273	AC091980.2	3056	XM_001142401	2800	4927.0	2668	2798	98.463	9598
274	AC091980.2	3056	NM_001193191	876	374.0	202	247	93.927	9913
275	AC091980.2	3056	AJ223801	876	370.0	200	248	93.548	10090
276	AC091980.2	3056	XM_025154968	1442	110.0	59	237	76.371	9031
277	GRM7-AS2	520	NR_131906	510	942.0	510	510	100.0	9606
278	AC093599.1	562	AC093599	187937	320.0	173	173	100.0	9606
279	AC093599.1	562	BS000105	164236	111.0	60	93	88.172	9598
280	AF067845.2	3049	NR_111948	3064	5631.0	3049	3049	100.0	9606
281	AC007423.1	627	CP068261	84277185	1158.0	627	627	100.0	9606
282	LINC01377	649	NR_104617	649	1199.0	649	649	100.0	9606
283	OSTM1-AS1	3334	NR_145458	3355	6157.0	3334	3334	100.0	9606
284	OSTM1-AS1	3334	AC157522	221631	5738.0	3107	3195	99.124	9598
285	OSTM1-AS1	3334	AC166260	175641	525.0	284	385	91.688	10090
286	OSTM1-AS1	3334	AC171178	237797	315.0	170	351	83.761	9031
287	OSTM1-AS1	3334	AC151350	88948	252.0	136	305	82.295	8364
288	OSTM1-AS1	3334	LR812082	55936343	115.0	62	309	74.11	7955
289	AC009365.2	799	AC009365	222794	920.0	498	498	100.0	9606
290	AC009365.2	799	AC189122	202502	865.0	468	498	97.992	9598
291	TGFA-IT1	436	NR_046798	492	806.0	436	436	100.0	9606
292	AC004253.2	397	AC004253	130724	630.0	341	345	99.71	9606
293	AC016550.1	785	AC020923	159973	1450.0	785	785	100.0	9606
294	AL033527.2	785	XR_947223	789	1450.0	785	785	100.0	9606
295	AL033527.2	785	XR_001720399	788	1415.0	766	785	99.236	9598
296	AL033527.2	785	AL606906	198772	261.0	141	476	77.311	10090
297	AP005131.3	665	CP068260	80542536	939.0	508	508	100.0	9606
298	AC015771.1	554	XR_002957216	359	577.0	312	312	100.0	9606
299	AP003062.1	762	XR_948216	990	1408.0	762	762	100.0	9606
300	AC093714.1	1257	XR_108799	1317	2322.0	1257	1257	100.0	9606
301	AC093714.1	1257	AC193021	192184	1860.0	1007	1029	99.32	9598
302	AC093714.1	1257	AC132249	180332	1378.0	746	1019	91.168	10090
303	AC093714.1	1257	KT493386	391	632.0	342	375	97.067	9031
304	FLNB-AS1	3709	NR_135534	3708	6848.0	3708	3708	100.0	9606
305	FLNB-AS1	3709	XR_002943963	4700	486.0	263	315	94.603	9598
306	FLNB-AS1	3709	XM_005209556	4275	483.0	261	314	94.586	9913
307	FLNB-AS1	3709	NM_001357500	4393	298.0	161	322	84.161	10090
308	LINC02235	1279	NR_170318	1741	2346.0	1270	1280	99.766	9606
309	LINC02235	1279	AC149232	184062	215.0	116	126	97.619	9598
310	AL592466.1	607	AL592466	113271	520.0	281	281	100.0	9606
311	AL592466.1	607	AC149234	186825	108.0	58	68	95.588	9598
312	AC009597.1	584	XR_928913	1769	760.0	411	415	99.759	9606
313	AC092637.1	510	NR_120514	510	942.0	510	510	100.0	9606
314	AC092637.1	510	XR_678243	510	909.0	492	511	98.826	9598
315	AC096586.1	561	AB209904	5383	1037.0	561	561	100.0	9606
316	AC096586.1	561	XM_016951489	3291	998.0	540	568	98.592	9598
317	LINC00945	753	NR_104056	849	1391.0	753	753	100.0	9606
318	LINC00945	753	AC189691	207180	704.0	381	384	99.74	9598
319	LINC00945	753	XR_233195	1527	688.0	372	561	89.127	9913
320	LINC00945	753	AC034116	210023	466.0	252	385	88.831	10090
321	AC012055.2	335	AC012055	171943	446.0	241	241	100.0	9606
322	LINC01525	511	NR_126408	580	944.0	511	511	100.0	9606
323	LINC01525	511	XR_001716540	565	922.0	499	511	99.217	9598
324	AP001094.3	616	NR_024419	616	1138.0	616	616	100.0	9606
325	AL391704.3	831	AL391704	180552	1242.0	672	672	100.0	9606
326	AC136475.7	592	XR_930956	1595	1094.0	592	592	100.0	9606
327	AC136475.7	592	XR_680749	2154	137.0	74	86	95.349	9598
328	AL109954.3	558	CP068258	66210247	1031.0	558	558	100.0	9606
329	AL513422.1	383	NR_135135	426	708.0	383	383	100.0	9606
330	AL731533.1	608	AL731533	98398	547.0	296	300	99.667	9606
331	AL731533.1	608	BS000127	191424	172.0	93	123	91.87	9598
332	AC009804.2	3032	AC009804	140151	4809.0	2604	2604	100.0	9606
333	AC009804.2	3032	AC133645	207846	523.0	283	1043	76.702	10090
334	AC148477.1	476	NR_120467	476	880.0	476	476	100.0	9606
335	AC148477.1	476	XR_001708426	1002	830.0	449	477	98.113	9598
336	AL109954.2	530	NR_170941	1383	819.0	443	443	100.0	9606
337	AP001596.2	312	AP001696	340000	577.0	312	312	100.0	9606
338	AP001596.2	312	BS000208	173249	544.0	294	312	98.077	9598
339	AL669970.1	450	AL669970	169247	407.0	220	220	100.0	9606
340	AC104350.1	877	AF286887	192948	972.0	526	526	100.0	9606
341	AC015563.2	772	NM_022751	7431	1286.0	696	696	100.0	9606
342	AC015563.2	772	XM_009433843	7094	1247.0	675	693	99.134	9598
343	AC015563.2	772	AK220564	4933	968.0	524	695	91.799	10090
344	AC015563.2	772	XM_005224060	7374	937.0	507	696	90.948	9913
345	AC026726.1	601	AC026726	156825	1110.0	601	601	100.0	9606
346	AC026726.1	601	NR_045161	2807	1061.0	574	601	98.502	10090
347	AC026726.1	601	AC186822	245525	158.0	85	116	91.379	9031
348	AC095059.1	349	NG_034113	1477158	540.0	292	292	100.0	9606
349	AC107023.1	356	XR_001749088	2968	553.0	299	299	100.0	9606
350	AC107023.1	356	AC157532	204179	230.0	124	133	97.744	9598
351	AC107023.1	356	AC150675	172241	62.1	33	67	83.582	9913
352	AC005753.1	618	XR_001742906	9248	1142.0	618	618	100.0	9606
353	AC005753.1	618	XR_001717944	13004	1074.0	581	618	98.058	9598
354	AC005753.1	618	AC133646	209764	224.0	121	244	84.016	10090
355	LINC02457	596	XR_001749339	2357	1101.0	596	596	100.0	9606
356	AC008125.1	1538	AL137575	2057	2830.0	1532	1538	99.87	9606
357	AC008125.1	1538	XR_001708511	584	100.0	54	54	100.0	9598
358	AL390835.1	901	AL390835	65508	1242.0	672	672	100.0	9606
359	AL390835.1	901	AL772377	217837	628.0	340	603	86.07	10090
360	ENOX1-AS2	609	NG_052843	580456	1027.0	556	556	100.0	9606
361	AC023469.1	469	XR_678426	681	521.0	282	303	98.02	9598
362	AC023469.1	469	AC023469	133922	320.0	173	173	100.0	9606
363	AL356364.1	182	AL356364	102634	257.0	139	139	100.0	9606
364	SMIM2-IT1	478	NR_046843	478	883.0	478	478	100.0	9606
365	SMIM2-IT1	478	XR_170923	6985	867.0	469	478	99.372	9598
366	AC096677.2	598	NM_012396	2749	963.0	521	524	99.809	9606
367	AC096677.2	598	XM_003308686	2767	680.0	368	406	97.044	9598
368	AP000943.2	2753	XR_947920	6555	3653.0	1978	1978	100.0	9606
369	AP000943.2	2753	XR_001707508	7241	632.0	342	348	99.425	9598
370	LINC01633	1091	AF508903	1124	2010.0	1088	1091	99.908	9606
371	LINC01633	1091	AC185136	187146	154.0	83	95	95.789	9598
372	AC078814.1	535	NG_021722	1734	604.0	327	327	100.0	9606
373	AC078814.1	535	NM_001328293	1689	475.0	257	331	92.749	9598
374	AC078814.1	535	BC102557	1334	363.0	196	331	86.707	9913
375	AC103564.1	562	XR_002938052	6582	869.0	470	571	94.396	9598
376	AC103564.1	562	NM_001080482	4642	869.0	470	571	94.396	9606
377	AC103564.1	562	XM_005213526	4799	342.0	185	441	81.406	9913
378	AC103564.1	562	AL732590	199056	335.0	181	358	83.799	10090
379	AC012640.4	2550	NG_012160	23220	4710.0	2550	2550	100.0	9606
380	AC012640.4	2550	XM_009448790	1842	739.0	400	426	98.122	9598
381	AC012640.4	2550	NM_001034595	2105	315.0	170	465	79.785	9913
382	AC012640.4	2550	AB022158	14641	187.0	101	134	91.791	10090
383	GPC6-AS1	698	NR_046535	698	1290.0	698	698	100.0	9606
384	AL391361.2	571	XR_943196	589	616.0	333	340	99.412	9606
385	AL391361.2	571	AC275793	181569	137.0	74	80	97.5	9598
386	AL136529.1	610	AL136529	154028	558.0	302	302	100.0	9606
387	AL136529.1	610	XR_001716394	919	451.0	244	253	98.814	9598
388	AL020994.2	571	XR_938122	5863	909.0	492	492	100.0	9606
389	AL020994.2	571	XR_676466	1075	865.0	468	493	98.377	9598
390	LINC00363	210	NR_126360	311	388.0	210	210	100.0	9606
391	LINC00363	210	XR_001708968	607	372.0	201	204	99.51	9598
