	query acc	query length	subject acc	subject length	bit score	score	alignment length	% identity	subject tax id
27	AC114956.1	512	XM_009449209	3690	324.0	175	190	97.368	9598
28	AL080317.2	1385	NG_053000	191685	2558.0	1385	1385	100.0	9606
29	AL080317.2	1385	AC188938	169384	228.0	123	220	85.909	9598
30	AC090517.2	680	AP023475	95537968	1256.0	680	680	100.0	9606
31	AC007922.1	459	CP068260	80542536	804.0	435	435	100.0	9606
32	AC024619.3	323	NG_051989	113880	521.0	282	282	100.0	9606
33	AL118558.4	648	AL118558	194871	1197.0	648	648	100.0	9606
34	AL118558.4	648	AC161618	192432	324.0	175	218	93.578	9598
35	AL391427.1	425	XR_930601	825	780.0	422	422	100.0	9606
36	AL391427.1	425	XR_682518	815	385.0	208	249	94.779	9598
37	AC012507.2	1765	NR_038238	1893	3260.0	1765	1765	100.0	9606
38	AC012507.2	1765	XR_001716501	2587	752.0	407	425	98.588	9598
39	AL139407.1	1175	AL139407	65890	2170.0	1175	1175	100.0	9606
40	LINC01624	3265	AK095441	3265	5986.0	3241	3265	99.755	9606
41	AL359504.2	1601	NG_029728	167437	2957.0	1601	1601	100.0	9606
42	AL359504.2	1601	AC183607	172027	2857.0	1547	1601	98.876	9598
43	AP003717.1	1412	AF419291	1411	2595.0	1405	1412	99.858	9606
44	AP003717.1	1412	XM_016921589	1199	1445.0	782	791	99.621	9598
45	AP003717.1	1412	NM_001034536	1171	865.0	468	723	88.797	9913
46	AP003717.1	1412	XM_006508184	1175	730.0	395	615	88.13	10090
47	AL353719.1	864	AL353719	123160	1596.0	864	864	100.0	9606
48	AL353719.1	864	XM_016919098	2514	1530.0	828	865	98.613	9598
49	WARS2-IT1	2060	AK126392	2060	3783.0	2048	2060	99.806	9606
50	WARS2-IT1	2060	AC159037	171362	2174.0	1177	1948	87.166	9598
51	AL356055.1	446	NG_050926	412722	824.0	446	446	100.0	9606
52	ST7-OT4	1576	NR_002329	1627	2911.0	1576	1576	100.0	9606
53	ST7-OT4	1576	AC192856	158729	1203.0	651	673	98.96	9598
54	AC018450.1	529	AK097380	1759	656.0	355	355	100.0	9606
55	AC073389.3	935	NG_032583	17146	1727.0	935	935	100.0	9606
56	AC073389.3	935	AC147287	230363	126.0	68	146	82.877	9598
57	LINC01694	6721	NR_146912	6735	12412.0	6721	6721	100.0	9606
58	LINC01694	6721	BS000239	209016	11256.0	6095	6726	97.086	9598
59	AL691403.2	490	JF694939	3154	905.0	490	490	100.0	9606
60	AL691403.2	490	XM_024997589	4998	82.4	44	62	90.323	9913
61	DOCK9-DT	807	NR_047482	1903	1491.0	807	807	100.0	9606
62	DOCK9-DT	807	XM_009427180	1895	1402.0	759	807	98.017	9598
63	AC010210.1	2189	BC039378	2207	4037.0	2186	2189	99.954	9606
64	AC010210.1	2189	XR_001713635	4508	3417.0	1850	2047	97.069	9598
65	AC010210.1	2189	XR_003030778	642	78.7	42	66	87.879	9913
66	CEBPB-AS1	2648	NR_125739	2973	4745.0	2569	2569	100.0	9606
67	CEBPB-AS1	2648	XM_525353	2127	431.0	233	233	100.0	9598
68	CEBPB-AS1	2648	NM_176788	1047	370.0	200	233	95.279	9913
69	AL356476.1	480	AL356476	184510	765.0	414	418	99.761	9606
70	AL356476.1	480	AC147078	217576	204.0	110	176	87.5	9598
71	ENO1-AS1	456	NR_038351	447	826.0	447	447	100.0	9606
72	ENO1-AS1	456	XR_002943542	484	809.0	438	456	98.684	9598
73	AC080038.1	1154	NG_033955	73201	2132.0	1154	1154	100.0	9606
74	AC080038.1	1154	AC146419	188751	89.8	48	116	81.897	9598
75	AL117378.1	2305	AK022686	2304	4235.0	2293	2303	99.87	9606
76	AL117378.1	2305	AC160569	147345	3557.0	1926	2119	97.027	9598
77	LINC01748	5678	AL603844	220185	7655.0	4145	4145	100.0	9606
78	LINC01748	5678	AP006272	175178	379.0	205	344	86.628	9598
79	LINC01337	440	NR_125754	443	813.0	440	440	100.0	9606
80	LINC01337	440	XR_001717617	2369	795.0	430	440	99.318	9598
81	ARHGEF26-AS1	2598	NR_037901	2598	4798.0	2598	2598	100.0	9606
82	ARHGEF26-AS1	2598	XR_679262	2824	4224.0	2287	2470	97.692	9598
83	LINC01126	1646	AC010883	215532	3040.0	1646	1646	100.0	9606
84	LINC01126	1646	JN953025	39052	246.0	133	343	80.466	10090
85	AC006369.2	384	AC006369	188359	584.0	316	316	100.0	9606
86	AL136018.1	636	AL136018	173415	521.0	282	282	100.0	9606
87	AL136018.1	636	AC280493	202617	265.0	143	285	83.86	9598
88	AC122683.1	717	AC122683	142771	1157.0	626	626	100.0	9606
89	AC122683.1	717	AC198165	164788	60.2	32	89	79.775	9598
90	SCAMP1-AS1	1479	NR_105014	1550	2732.0	1479	1479	100.0	9606
91	SCAMP1-AS1	1479	XM_016953097	7638	2121.0	1148	1189	98.907	9598
92	AC091013.1	3734	AK126081	3734	6868.0	3719	3734	99.866	9606
93	AC091013.1	3734	AC147568	211115	787.0	426	574	91.463	10090
94	AC091013.1	3734	XR_682966	445	355.0	192	198	98.99	9598
95	AC091013.1	3734	KT529488	280	322.0	174	207	94.686	9031
96	BTG3-AS1	2341	NR_149073	2435	4324.0	2341	2341	100.0	9606
97	BTG3-AS1	2341	BS000037	142800	4117.0	2229	2355	98.386	9598
98	AP001160.3	763	AK001998	1768	1410.0	763	763	100.0	9606
99	AP001160.3	763	XM_024347207	2979	494.0	267	270	99.63	9598
100	AP001160.3	763	NR_015538	2478	316.0	171	535	78.505	10090
101	AP001160.3	763	BT029858	1587	294.0	159	271	86.347	9913
102	UCHL1-AS1	592	NR_102709	592	1094.0	592	592	100.0	9606
103	AL136295.7	1200	AL136295	194815	2217.0	1200	1200	100.0	9606
104	AL136295.7	1200	AC275806	174770	1277.0	691	855	93.918	9598
105	AL513314.2	545	NR_026999	4651	939.0	508	545	97.798	9606
106	AL513314.2	545	XM_024353451	929	436.0	236	242	99.174	9598
107	LINC01737	403	NR_146479	417	745.0	403	403	100.0	9606
108	LINC01737	403	XR_169195	403	739.0	400	403	99.752	9598
109	AP000355.1	480	NG_012858	38303	453.0	245	245	100.0	9606
110	AP000355.1	480	AC194994	182936	433.0	234	247	98.381	9598
111	Z83843.1	3685	Z83843	47828	6806.0	3685	3685	100.0	9606
112	Z83843.1	3685	AC189000	182262	132.0	71	89	93.258	9598
113	AL358072.1	575	AL358072	129725	1062.0	575	575	100.0	9606
114	AC073335.2	3441	AC073335	68275	6355.0	3441	3441	100.0	9606
115	AC073335.2	3441	AC193200	218153	2835.0	1535	1834	94.875	9598
116	AC063919.1	254	XR_002959509	5137	339.0	183	183	100.0	9606
117	AC063919.1	254	XR_679160	3706	141.0	76	76	100.0	9598
118	AC007529.1	2178	AC007529	147239	4023.0	2178	2178	100.0	9606
119	AC007529.1	2178	AC192795	207156	392.0	212	1205	73.444	9598
120	LINC00467	3508	AL590101	180169	5572.0	3017	3017	100.0	9606
121	LINC00467	3508	XM_009441432	540	725.0	392	424	97.642	9598
122	STPG3-AS1	1701	NR_038389	1701	3142.0	1701	1701	100.0	9606
123	STPG3-AS1	1701	XM_024346010	3460	1881.0	1018	1097	97.63	9598
124	STPG3-AS1	1701	JN954118	37274	108.0	58	127	82.677	10090
125	AC005845.1	653	AC005845	60101	597.0	323	323	100.0	9606
126	AC005845.1	653	BS000113	172432	296.0	160	194	94.33	9598
127	LINC01366	983	NR_026945	2242	1816.0	983	983	100.0	9606
128	LINC01366	983	AC192631	172400	99.0	53	65	93.846	9598
129	AP000897.1	1613	AP005118	166857	2979.0	1613	1613	100.0	9606
130	AP000897.1	1613	AC187756	216454	248.0	134	338	80.473	9598
131	LINC00960	2126	AK098258	2127	3927.0	2126	2126	100.0	9606
132	LINC00960	2126	AC182646	154158	2638.0	1428	1468	99.114	9598
133	AC009961.1	2520	NR_110586	2536	4654.0	2520	2520	100.0	9606
134	AC009961.1	2520	XM_016949923	7827	483.0	261	273	98.535	9598
135	KDM4A-AS1	833	AL451062	141866	1171.0	634	634	100.0	9606
136	KDM4A-AS1	833	XM_016960936	443	490.0	265	278	98.561	9598
137	AC127496.3	494	NG_013034	428549	366.0	198	198	100.0	9606
138	AC127496.3	494	XM_024350719	6691	119.0	64	64	100.0	9598
139	AC127496.3	494	NM_001192130	5072	97.1	52	61	95.082	9913
140	FLJ21408	2594	AK025061	2620	4674.0	2531	2606	99.117	9606
141	FLJ21408	2594	AC197462	159701	551.0	298	712	81.18	9598
142	ZNF460-AS1	712	NR_136528	782	1315.0	712	712	100.0	9606
143	ZNF460-AS1	712	AC123982	186239	876.0	474	495	98.586	9598
144	Z99289.3	594	Z99289	190778	1098.0	594	594	100.0	9606
145	AL353135.1	504	AL353135	127653	931.0	504	504	100.0	9606
146	AL353135.1	504	XM_001157428	2350	883.0	478	499	98.597	9598
147	AC009955.1	271	NG_050748	21411	374.0	202	202	100.0	9606
148	AC009955.1	271	AC158240	217064	363.0	196	202	99.01	9598
149	LINC00939	4972	AL137270	5016	9177.0	4969	4972	99.98	9606
150	LINC00939	4972	AC192129	213941	1079.0	584	807	90.83	9598
151	AC110769.2	1548	AC110769	135317	2859.0	1548	1548	100.0	9606
152	AC110769.2	1548	AC192162	229196	113.0	61	131	83.206	9598
153	AF165147.1	6103	XR_002958591	10237	10320.0	5588	5588	100.0	9606
154	AF165147.1	6103	XR_001712443	5651	9925.0	5374	5660	98.392	9598
155	AL137009.1	1812	AL022722	139171	2362.0	1279	1279	100.0	9606
156	AL137009.1	1812	AC191867	181906	429.0	232	597	80.57	9598
157	AL137009.1	1812	KX592814	12712469	244.0	132	632	75.0	9913
158	C17orf82	1530	NR_160788	1530	2826.0	1530	1530	100.0	9606
159	C17orf82	1530	XM_016932677	2949	2726.0	1476	1531	98.824	9598
160	AC026353.1	558	AC026353	138312	721.0	390	390	100.0	9606
161	AC026353.1	558	XM_024355790	1735	134.0	72	72	100.0	9598
162	RASSF1-AS1	790	NR_109831	790	1459.0	790	790	100.0	9606
163	RASSF1-AS1	790	XM_001168427	2264	691.0	374	400	98.0	9598
164	RASSF1-AS1	790	XM_024982559	2735	171.0	92	110	94.545	9913
165	CCDC18-AS1	2973	NR_034089	4033	5491.0	2973	2973	100.0	9606
166	CCDC18-AS1	2973	XR_001707735	5477	3079.0	1667	1758	98.407	9598
167	LINC00663	2546	CP068259	61707359	4702.0	2546	2546	100.0	9606
168	LINC00663	2546	AC145864	206128	348.0	188	306	87.255	9598
169	AC009654.1	757	AC009654	192296	918.0	497	497	100.0	9606
170	AC009654.1	757	AC161005	217746	231.0	125	314	80.573	9598
171	AC009654.1	757	XM_024986662	12668	128.0	69	246	76.829	9913
172	AL139121.1	244	AL139121	41927	385.0	208	208	100.0	9606
173	LINC02466	1963	NR_110753	1978	3626.0	1963	1963	100.0	9606
174	LINC02466	1963	XR_001717144	924	1155.0	625	732	95.628	9598
175	KCNJ2-AS1	2442	CP068261	84277185	4510.0	2442	2442	100.0	9606
176	KCNJ2-AS1	2442	XR_002940247	3334	1524.0	825	841	99.405	9598
177	KCNJ2-AS1	2442	AC025586	185386	130.0	70	144	84.028	10090
178	SMC2-AS1	7020	NR_121580	7020	12964.0	7020	7020	100.0	9606
179	SMC2-AS1	7020	XR_682354	8202	12231.0	6623	7024	98.135	9598
180	SMC2-AS1	7020	AL732619	225086	736.0	398	1070	79.626	10090
181	AC073195.1	877	NG_029873	73526	1620.0	877	877	100.0	9606
182	AC007193.2	472	NM_152794	5864	472.0	255	255	100.0	9606
183	AC007193.2	472	XM_016936265	2730	455.0	246	255	98.824	9598
184	AC007193.2	472	XM_015458155	4798	207.0	112	240	82.917	9913
185	AL136379.1	2642	NR_158166	2642	4879.0	2642	2642	100.0	9606
186	AL136379.1	2642	AC190222	155508	239.0	129	287	82.23	9598
187	AL049874.3	868	AL049874	193047	1264.0	684	684	100.0	9606
188	AL049874.3	868	AC190133	160820	296.0	160	208	92.308	9598
189	AC107294.1	467	AC107294	193421	863.0	467	467	100.0	9606
190	AC107294.1	467	XR_002943248	4179	804.0	435	467	97.859	9598
191	AC116634.1	447	AC092621	141742	315.0	170	170	100.0	9606
192	AC116634.1	447	AC146267	172439	73.1	39	84	83.333	9598
193	AC116634.1	447	XM_024987933	982	56.5	30	30	100.0	9913
194	AC004862.1	1678	AC004862	158811	1208.0	654	654	100.0	9606
195	AC004862.1	1678	AC212597	245333	1184.0	641	654	99.388	9598
196	AC138393.3	573	AC138393	184644	922.0	499	562	96.441	9606
197	AC138393.3	573	AC204684	180153	900.0	487	562	95.73	9598
198	CCDC39-AS1	283	AC068298	180335	327.0	177	177	100.0	9606
199	CCDC39-AS1	283	AC154395	255105	244.0	132	173	93.064	10090
200	IQCJ-SCHIP1-AS1	508	NR_121669	597	939.0	508	508	100.0	9606
201	IQCJ-SCHIP1-AS1	508	XR_679282	850	905.0	490	508	98.819	9598
202	IQCJ-SCHIP1-AS1	508	AC122913	205216	182.0	98	257	79.767	10090
203	AL024497.1	631	AK093513	1803	1153.0	624	630	99.683	9606
204	AC005306.1	661	CP068259	61707359	863.0	467	467	100.0	9606
205	AC005306.1	661	XM_016934620	2625	342.0	185	194	98.454	9598
206	AC016292.1	235	XR_934138	2098	435.0	235	235	100.0	9606
207	AC016292.1	235	AC183982	188953	287.0	155	155	100.0	9598
208	LINC01660	3572	NR_165634	3536	6521.0	3531	3531	100.0	9606
209	LINC01660	3572	AC129098	153736	2678.0	1450	2246	88.468	9598
210	AL139317.3	898	NM_198066	3867	1315.0	712	712	100.0	9606
211	AL139317.3	898	XM_522857	3947	1284.0	695	715	99.161	9598
212	AL365436.2	526	XM_017002224	3308	728.0	394	394	100.0	9606
213	AL365436.2	526	XM_009431353	3359	246.0	133	133	100.0	9598
214	AC104663.1	557	AC104663	137625	710.0	384	384	100.0	9606
215	AC104663.1	557	XR_001716643	541	621.0	336	356	98.315	9598
216	LINC01239	2347	NR_038977	2347	4335.0	2347	2347	100.0	9606
217	LINC01239	2347	XM_016940326	1387	874.0	473	867	85.006	9598
218	LINC01239	2347	XM_005201967	1706	715.0	387	872	81.995	9913
219	SNHG26	1106	AC005682	162139	1912.0	1035	1035	100.0	9606
220	SNHG26	1106	AC146483	208066	1851.0	1002	1036	98.938	9598
221	ADIRF-AS1	3822	AK128041	3823	7053.0	3819	3822	99.974	9606
222	ADIRF-AS1	3822	AC194636	200211	2822.0	1528	1607	98.382	9598
223	TMEM220-AS1	944	AC015908	158693	904.0	489	489	100.0	9606
224	TMEM220-AS1	944	XR_001710951	1796	233.0	126	135	97.778	9598
225	AC096719.1	1874	AC093735	111389	1879.0	1017	1017	100.0	9606
226	AC096719.1	1874	AC193911	191062	309.0	167	381	81.627	9598
227	AL691432.2	2038	XM_011540741	5339	3764.0	2038	2038	100.0	9606
228	AL691432.2	2038	XM_024355779	3117	390.0	211	220	98.636	9598
229	SLC25A5-AS1	3062	NG_013262	9997	5655.0	3062	3062	100.0	9606
230	SLC25A5-AS1	3062	XM_016943509	1452	606.0	328	407	94.349	9598
231	SLC25A5-AS1	3062	JN956257	38844	279.0	151	369	81.03	10090
232	SLC25A5-AS1	3062	BC102950	1230	174.0	94	121	92.562	9913
233	SLC25A5-AS1	3062	NM_204231	1450	121.0	65	95	89.474	9031
234	AC011473.1	443	CP068259	61707359	580.0	314	314	100.0	9606
235	AC011473.1	443	AC200160	188067	111.0	60	94	88.298	9598
236	LAMTOR5-AS1	1044	XR_001709021	2776	1714.0	928	928	100.0	9598
237	LAMTOR5-AS1	1044	AB209680	7612	1714.0	928	928	100.0	9606
238	LAMTOR5-AS1	1044	XM_010803256	17890	1504.0	814	935	95.936	9913
239	LAMTOR5-AS1	1044	XR_003954318	19918	1376.0	745	929	93.757	10090
240	TTTY9B	1637	NR_001530	1637	3024.0	1637	1637	100.0	9606
241	TTTY9B	1637	XR_002942421	2712	1637.0	886	1507	86.53	9598
242	AC087893.1	664	NG_029846	81894	1227.0	664	664	100.0	9606
243	AL356599.1	3961	NR_038245	3997	7315.0	3961	3961	100.0	9606
244	AL356599.1	3961	XM_016956441	5958	3192.0	1728	1781	99.045	9598
245	AL356599.1	3961	XM_024997048	7829	1125.0	609	1698	79.623	9913
246	AC010624.1	1525	NR_027257	1542	2817.0	1525	1525	100.0	9606
247	AC010624.1	1525	AC192188	194295	1098.0	594	609	99.179	9598
248	AC010624.1	1525	XM_001231668	1705	69.4	37	43	95.349	9031
249	AC010624.1	1525	AK039950	1712	60.2	32	42	92.857	10090
250	AL135791.1	826	AL135791	66975	1465.0	793	793	100.0	9606
251	AL135791.1	826	XM_009458286	2901	180.0	97	97	100.0	9598
252	LINC01649	1743	NR_125969	1411	2579.0	1396	1396	100.0	9606
253	LINC01649	1743	AC166072	221724	499.0	270	845	77.988	10090
254	LINC01649	1743	XR_001708578	626	427.0	231	234	99.573	9598
255	AC136424.1	542	AC008640	153596	599.0	324	324	100.0	9606
256	AL139423.1	7923	AL139423	143285	13090.0	7088	7088	100.0	9606
257	AL139423.1	7923	XM_024356287	4298	1607.0	870	894	99.105	9598
258	AL139423.1	7923	XM_024976728	7908	1086.0	588	852	89.789	9913
259	AL139423.1	7923	AL611967	173824	1051.0	569	811	90.259	10090
260	AL139423.1	7923	XM_015297152	10049	699.0	378	649	86.133	9031
261	AL139423.1	7923	CR677513	129030	628.0	340	649	84.129	7955
262	AC004223.2	544	CP068261	84277185	1005.0	544	544	100.0	9606
263	GS1-124K5.4	540	NR_134571	563	998.0	540	540	100.0	9606
264	GS1-124K5.4	540	XR_681424	545	887.0	480	543	96.501	9598
265	AP000654.1	1192	CP068257	45827691	1507.0	816	1215	89.465	9606
266	AP000654.1	1192	AC190422	219967	1463.0	792	1217	88.825	9598
267	AP000654.1	1192	NG_071302	1136	335.0	181	448	80.58	9913
268	AC073957.1	535	AC073957	196204	874.0	473	473	100.0	9606
269	AC073957.1	535	AC146112	176408	869.0	470	473	99.789	9598
270	AC131097.4	571	AC131097	187030	872.0	472	472	100.0	9606
271	AC131097.4	571	AC187749	203911	178.0	96	246	80.894	9598
272	PRR31	978	AL807752	158699	913.0	494	494	100.0	9606
273	PRR31	978	XM_024346084	523	830.0	449	496	96.976	9598
274	RNF217-AS1	4507	NR_026876	5360	8301.0	4495	4495	100.0	9606
275	RNF217-AS1	4507	XR_001718717	572	725.0	392	404	99.01	9598
276	AP003028.1	1033	AP003177	171621	1319.0	714	717	99.861	9606
277	AP003028.1	1033	XR_001707486	783	1206.0	653	665	99.398	9598
278	AC012313.6	790	NR_136527	736	1360.0	736	736	100.0	9606
279	AC012313.6	790	XR_001711966	2729	981.0	531	560	98.393	9598
280	AC087612.1	1166	AC087612	145405	881.0	477	477	100.0	9606
281	AC087612.1	1166	AC150516	237116	56.5	30	30	100.0	9913
282	LINC00347	2371	NR_034024	2105	3849.0	2084	2084	100.0	9606
283	LINC00347	2371	XR_128609	2080	3740.0	2025	2084	99.088	9598
284	LINC00347	2371	AC126033	154626	726.0	393	1216	78.207	10090
285	LINC00347	2371	XM_024992387	3614	60.2	32	32	100.0	9913
286	DGUOK-AS1	601	AC073046	173658	569.0	308	308	100.0	9606
287	DGUOK-AS1	601	XR_002942556	2125	556.0	301	311	99.035	9598
288	AC009159.3	804	XR_429779	1806	1485.0	804	804	100.0	9606
289	AC009159.3	804	XR_002939927	1462	1419.0	768	804	98.507	9598
290	LINC01232	2796	AK123584	2796	5136.0	2781	2796	99.821	9606
291	LINC01232	2796	AC270528	216843	1513.0	819	1097	91.705	9598
292	AL355816.2	647	NR_138484	2348	1195.0	647	647	100.0	9606
293	AL355816.2	647	XM_001161519	2651	1116.0	604	657	97.565	9598
294	AL355816.2	647	XM_005204090	2118	577.0	312	578	85.467	9913
295	AC007686.2	469	AC007686	181386	466.0	252	252	100.0	9606
296	AC007686.2	469	AC193260	182740	431.0	233	256	97.266	9598
297	AC011503.2	1500	CP068259	61707359	2771.0	1500	1500	100.0	9606
298	AC011503.2	1500	AC182637	186750	651.0	352	744	82.796	9598
299	AC089983.1	701	NG_029392	141504	813.0	440	440	100.0	9606
300	AC089983.1	701	AC193238	177586	159.0	86	197	82.234	9598
301	AC089983.1	701	AC133165	181278	58.4	31	94	78.723	10090
302	AL356515.1	415	XR_941929	883	595.0	322	322	100.0	9606
303	AL356515.1	415	CT989257	195693	135.0	73	110	89.091	9598
304	AL031289.1	471	XR_947236	2032	651.0	352	352	100.0	9606
305	AL031289.1	471	AC182633	202455	84.2	45	60	91.667	9598
306	STX18-AS1	3047	AC109359	134897	5409.0	2929	2929	100.0	9606
307	STX18-AS1	3047	AC132308	184560	220.0	119	302	80.464	10090
308	STX18-AS1	3047	XR_001716709	2276	209.0	113	119	98.319	9598
309	AL138963.1	310	AL138963	161297	420.0	227	227	100.0	9606
310	AL138963.1	310	AC275708	198153	403.0	218	230	98.261	9598
311	Z97055.2	1463	NG_030019	290594	2702.0	1463	1463	100.0	9606
312	Z97055.2	1463	XR_001712746	644	621.0	336	342	99.415	9598
313	AC083805.3	1315	XR_245991	2269	2403.0	1301	1301	100.0	9606
314	AC083805.3	1315	XR_001707934	1318	2303.0	1247	1320	98.258	9598
315	AC083805.3	1315	AC122018	173543	171.0	92	149	87.919	10090
316	AC008592.4	450	AC008821	184111	582.0	315	319	99.687	9606
317	AC008592.4	450	AC163726	207364	113.0	61	64	98.438	9598
318	AC025280.1	260	CP068262	96330493	429.0	232	232	100.0	9606
319	AC025280.1	260	AC183274	163934	104.0	56	85	89.412	9598
320	AC022079.1	602	AC022079	181193	1112.0	602	602	100.0	9606
321	AP001999.2	389	AP001999	172504	616.0	333	333	100.0	9606
322	AP001999.2	389	AC195515	211983	169.0	91	186	83.333	9598
323	AL359878.2	407	NR_120629	407	752.0	407	407	100.0	9606
324	AL359878.2	407	XM_016962534	1415	154.0	83	86	98.837	9598
325	AP000787.1	1926	NR_110303	1926	3557.0	1926	1926	100.0	9606
326	AP000787.1	1926	AC192794	214408	359.0	194	287	89.547	9598
327	AL138976.2	694	AL138976	167357	1282.0	694	694	100.0	9606
328	AL138976.2	694	AC214848	215581	206.0	111	258	81.783	9598
329	LINC00458	1060	BC026300	1084	1923.0	1041	1054	99.62	9606
330	LINC00458	1060	XR_001708936	715	446.0	241	269	96.654	9598
331	AL031667.3	655	NG_050686	223394	1210.0	655	655	100.0	9606
332	AL031667.3	655	AC203104	205421	137.0	74	200	79.5	9598
333	AL031667.3	655	AL663076	206148	69.4	37	81	82.716	10090
334	AP000812.1	477	AP000812	120528	420.0	227	227	100.0	9606
335	AP000812.1	477	AC270556	186427	130.0	70	118	86.441	9598
336	LINC01537	2450	NR_126364	2447	4512.0	2443	2443	100.0	9606
337	LINC01537	2450	AC194557	156913	1155.0	625	1059	86.874	9598
338	AC008738.2	404	CP068259	61707359	562.0	304	320	98.438	9606
339	AC008738.2	404	XR_001711735	2184	370.0	200	215	97.674	9598
340	AL132656.3	1595	AC277727	181850	2946.0	1595	1595	100.0	9606
341	AL132656.3	1595	AC182645	221731	2826.0	1530	1597	98.685	9598
342	AL132656.3	1595	KX592814	12712469	52.8	28	28	100.0	9913
343	AC005229.4	2198	NG_065171	110355	4060.0	2198	2198	100.0	9606
344	AC005229.4	2198	AC188799	154135	3851.0	2085	2206	98.277	9598
345	AC007364.1	1022	NR_110240	873	1589.0	860	860	100.0	9606
346	AC007364.1	1022	XR_001716237	1538	564.0	305	331	97.583	9598
347	AC009126.1	2245	AK094985	2245	4141.0	2242	2245	99.955	9606
348	AC009126.1	2245	XM_016953521	3558	1046.0	566	602	98.007	9598
349	AC009126.1	2245	KT715031	226876	69.4	37	150	75.333	9913
350	AC073569.3	682	AC073569	177734	1260.0	682	682	100.0	9606
351	LINC01431	514	NR_109884	647	950.0	514	514	100.0	9606
352	LINC01431	514	XR_676175	2287	928.0	502	511	99.413	9598
353	LINC01410	2877	NR_121647	2877	5313.0	2877	2877	100.0	9606
354	LINC01410	2877	AC146268	195737	2732.0	1479	1824	93.75	9598
355	AC024243.1	778	EF015897	121841	1437.0	778	778	100.0	9606
356	AC006141.1	2170	AC006141	121132	4008.0	2170	2170	100.0	9606
357	AC006141.1	2170	AC195114	173507	267.0	144	293	83.618	9598
358	KLHL6-AS1	503	NR_046687	517	929.0	503	503	100.0	9606
359	KLHL6-AS1	503	XR_679361	2068	889.0	481	503	98.608	9598
360	AC025809.1	560	XR_002958388	4249	580.0	314	317	99.685	9606
361	AC025809.1	560	XR_001711730	5521	399.0	216	216	100.0	9598
362	AC025809.1	560	AC129593	210291	102.0	55	73	91.781	10090
363	AC109322.1	1264	AC109322	215342	2335.0	1264	1264	100.0	9606
364	AC109322.1	1264	XM_001154573	1671	1604.0	868	898	98.886	9598
365	AC109322.1	1264	AJ518955	2285	285.0	154	199	92.462	9913
366	AC109322.1	1264	JN961052	37222	237.0	128	192	89.062	10090
367	AL161457.2	2663	MK280616	7170	4625.0	2504	2663	98.122	9606
368	AL161457.2	2663	AC182393	230693	4423.0	2395	2476	98.91	9598
369	AL161457.2	2663	AC122460	173119	339.0	183	362	83.702	10090
370	FGF10-AS1	1894	NR_108034	1919	3498.0	1894	1894	100.0	9606
371	FGF10-AS1	1894	XR_680197	1893	3402.0	1842	1894	99.102	9598
372	FGF10-AS1	1894	XR_874000	4578	117.0	63	307	73.941	10090
373	AC092143.3	559	CP068262	96330493	665.0	360	360	100.0	9606
374	AC092143.3	559	AF387969	6599	621.0	336	360	97.778	9598
375	Z98749.1	541	CP068256	51353906	667.0	361	361	100.0	9606
376	Z98749.1	541	AC183678	209755	556.0	301	366	94.536	9598
377	AC008728.1	691	XR_001742918	1550	1219.0	660	660	100.0	9606
378	AC008728.1	691	XR_001717979	6251	688.0	372	378	99.471	9598
