""	"Term"	"Overlap"	"P.value"	"Adjusted.P.value"	"Old.P.value"	"Old.Adjusted.P.value"	"Odds.Ratio"	"Combined.Score"	"Genes"
"7"	"positive regulation of transcription from RNA polymerase II promoter (GO:0045944)"	"58 of 848"	1.76134135061836e-06	0.000677109939216288	0	0	2.06675914687012	27.3833907872905	"SMARCB1;LDB1;ARHGEF10L;ELK1;SPIB;RPS6KA5;SIN3A;MYC;EPC1;EP300;KAT7;GABPA;NCOA1;KDM6B;NCOA2;FOXD2;NCOA6;ZBTB38;TCF12;HNF1A;NR5A2;IRF2;MAML3;PRKN;KMT2D;HDAC5;NFIX;PAXIP1;ATF6B;EPAS1;ZBTB49;CTR9;DOT1L;LRP5;FOXO4;RTF1;RXRA;LEO1;SHOX;MEF2D;MAP2K5;BCL9L;STAT5B;SMAD1;CREBBP;NFATC3;DAB2IP;FOXJ2;KLF4;SMARCA2;ESR1;BMP6;GDNF;SP1;NFIC;ASXL2;TAF4;MIXL1"
"8"	"transcription, DNA-templated (GO:0006351)"	"31 of 356"	5.05688519834102e-06	0.00170100975859196	0	0	2.64399460188934	32.2428791821058	"NFIX;GTF3C4;LDB1;ATF6B;EPAS1;MAX;CTR9;RTF1;FOXO4;GTF2E1;TAF5L;POLR2A;NUP62;HIVEP1;LEO1;SHOX;UBTF;EPC1;HIVEP2;PKNOX1;GABPA;NCOA1;NCOA6;NFATC3;ARNT;SSRP1;KLF4;ESR1;NFIC;TAF5;TAF4"
"9"	"regulation of gene expression (GO:0010468)"	"65 of 1037"	7.68389792370331e-06	0.00229748547918729	0	0	1.88405349794239	22.187336709815	"ZNF253;ZNF572;GSK3B;LDB1;ZNF45;SART3;RPS6KA5;MYC;SUFU;ZNF41;UBTF;EP300;HMG20A;KAT7;ERC1;GABPA;ZNF200;NCOA2;ANK3;ZNF16;NR5A2;KAT6B;IRF2;ATF7;PRMT9;ABCG1;ZNF112;ZNF28;PRKN;KMT2D;HDAC5;ZNF230;ZNF670;KDM3B;CTR9;ZNF2;FOXO4;PRDM10;POLR2A;SAP30L;HIVEP1;ZNF624;MAPK1;HIVEP2;ZNF223;RNF20;SMAD1;CREBBP;GSN;PTCD2;INSR;SSRP1;KLF4;SMARCA2;ESR1;YY1AP1;ZNF33B;PUM2;ZNF816;GDNF;SP1;ZNF616;ZFP64;ZNF611;HRG"
"3283"	"SWI/SNF complex (GO:0016514)"	"6 of 15"	7.76031558451422e-06	0.000675147455852737	0	0	18.1250587682181	213.268278456863	"NCR1;SMARCD2;SMARCC2;SMARCB1;ARID1A;SMARCA2"
"2694"	"DNA binding (GO:0003677)"	"58 of 893"	8.56170427669391e-06	0.00168094793965757	0	0	1.95061930932655	22.7602382473485	"ZNF174;SMARCB1;UBP1;ARHGAP35;MYC;EP300;HMG20A;TRIM26;POLE;GABPA;ZNF200;KDM6B;FOXD2;KDM2B;HSFX1;ARNT;HNF1A;ARID1A;DDB1;MAU2;NR5A2;MSH3;KAT6A;DMC1;IRF2;CRY2;ZNF556;NUPR1;ZNF674;KMT2D;GTF3C4;MAX;EPAS1;ZBTB49;FOXO4;RTF1;DDX60;HIRA;RXRA;POLR2A;SAP30L;ZNF669;HIVEP1;SHOX;HIVEP2;MEF2D;ZNF223;CREBBP;FOXN3;PALB2;ZFP69;ZNF70;ZNF619;TDP2;SP1;QRICH1;KIAA1958;TAF4"
"10"	"histone H2B ubiquitination (GO:0033523)"	"5 of 10"	1.24959450876972e-05	0.00336265882309932	0	0	27.1549295774648	306.582043107983	"RNF20;CTR9;LEO1;WAC;RNF40"
"3284"	"nuclear chromosome part (GO:0044454)"	"32 of 392"	1.34861595527837e-05	0.000750107851640483	0	0	2.46299007646006	27.6195929359462	"SMARCD2;SMARCB1;LDB1;MAX;PPP1R10;NUGGC;HIRA;RXRA;TNKS2;MYC;MEF2D;POLE;GABPA;NCOA1;KDM6B;UPF1;CREBBP;FAM9B;SMARCC2;TCF12;KLF4;ARID1A;SMARCA2;ESR1;YY1AP1;DDB1;SP1;ASXL2;MCM5;TAF5;TAF4;MIXL1"
"2695"	"transcription regulatory region DNA binding (GO:0044212)"	"31 of 374"	1.35924694956726e-05	0.0020014911332378	0	0	2.50286430361618	28.047083951277	"PRKN;KMT2D;HDAC5;ZNF174;KDM3B;ATF6B;MAX;RXRA;SIN3A;MYC;BAHD1;HIVEP1;EP300;KAT7;HIVEP2;MEF2D;GABPA;ZNF200;TCF12;ARNT;HNF1A;KLF4;SMARCA2;BTBD8;ESR1;PER2;NR5A2;SP1;CRY2;BCOR;TAF5"
"3285"	"nuclear chromatin (GO:0000790)"	"24 of 253"	1.43698822153349e-05	0.000750107851640483	0	0	2.89021037797256	32.2269325909367	"NCOA1;KDM6B;CREBBP;SMARCD2;SMARCB1;SMARCC2;LDB1;MAX;TCF12;ARID1A;KLF4;SMARCA2;ESR1;YY1AP1;HIRA;RXRA;SP1;MYC;ASXL2;TAF5;TAF4;MEF2D;GABPA;MIXL1"
"11"	"positive regulation of protein localization to centrosome (GO:1904781)"	"4 of 6"	2.29403729199226e-05	0.00561204941159197	0	0	54.2419127988748	579.445318878393	"GSK3B;APC;NUP62;CEP250"
"12"	"transcription from RNA polymerase II promoter (GO:0006366)"	"36 of 485"	3.142017615879e-05	0.00704597450360865	0	0	2.22420630364974	23.0607051171864	"NFIX;MAX;EPAS1;POLDIP3;MAZ;CTR9;PHAX;ZNF45;FOXO4;RTF1;PPM1D;GTF2E1;TAF5L;RXRA;POLR2A;LEO1;HIVEP1;SHOX;HIVEP2;PKNOX1;GABPA;CREBBP;PBRM1;NFATC3;ARNT;ELP4;RPRD2;SSRP1;KLF4;ESR1;NR5A2;SP1;NFIC;MAML3;TAF5;TAF4"
"13"	"positive regulation of protein metabolic process (GO:0051247)"	"13 of 96"	3.6705166008078e-05	0.00728355543927398	0	0	4.28424810352521	43.7532824050252	"NSF;PRKN;GSK3B;CDKN1B;LDB1;CHRNA7;DAB2IP;WWP1;KLF4;OAZ2;DDB1;APC;MAP2K5"
"14"	"negative regulation of transcription, DNA-templated (GO:0045892)"	"52 of 813"	3.7892893403878e-05	0.00728355543927398	0	0	1.90914946793435	19.4365676658953	"ZNF253;ZNF174;CDKN1B;LDB1;TCF25;ZC3H4;UBP1;OTUD7B;ARHGAP35;RPS6KA5;SIN3A;MYC;SUFU;EPC1;EP300;ZNF366;ZHX2;RBFOX2;SMARCC2;KDM2B;ZBTB38;CBFA2T3;KAT6B;KAT6A;IRF2;CRY2;ZNF674;PRKN;HDAC5;NFIX;MAX;CIPC;CTR9;RTF1;RXRA;BAHD1;HIVEP1;MAP2K5;CREBBP;DAB2IP;RITA1;WWP1;FOXN3;KLF4;SMARCA2;ESR1;BMP6;GATAD2A;PER2;SP2;NFIC;BCOR"
"15"	"regulation of protein localization to centrosome (GO:1904779)"	"4 of 7"	5.20089139273036e-05	0.00933039915855826	0	0	36.1593999062354	356.679771453238	"GSK3B;APC;NUP62;CEP250"
"2696"	"RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)"	"34 of 460"	5.63523253290451e-05	0.00663830392376151	0	0	2.21024728892198	21.6248098329254	"GMEB1;SMARCD2;SMARCB1;ATF6B;MAX;ZC3H4;MAZ;ELK1;PRDM10;ARHGAP35;SPIB;RXRA;MYC;MEF2D;GABPA;KDM6B;SMAD1;SMARCC2;TCF12;NFATC3;FOXJ2;HSFX1;HNF1A;ARID3C;ESR1;GATAD2A;NR5A2;SP2;RFX7;SP1;NFIC;ZFP64;IRF2;MIXL1"
"16"	"chromatin remodeling (GO:0006338)"	"14 of 116"	6.83339319908086e-05	0.0107459153618325	0	0	3.75600682498392	36.0242524838636	"KDM6B;HDAC5;PBRM1;SMARCD2;SMARCB1;SMARCC2;SSRP1;ARID1A;SMARCA2;ESR1;MYC;BAHD1;UBTF;HMG20A"
"17"	"protein-DNA complex disassembly (GO:0032986)"	"6 of 21"	7.0009793033529e-05	0.0107459153618325	0	0	10.8716502115656	104.007723240626	"SMARCD2;PBRM1;SMARCC2;SMARCB1;MYC;ARID1A"
"18"	"beta-catenin-TCF complex assembly (GO:1904837)"	"7 of 30"	7.18790325206186e-05	0.0107459153618325	0	0	8.28015229673299	78.9970079048411	"KMT2D;BCL9;CREBBP;MYC;LEO1;EP300;BCL9L"
"2697"	"aryl hydrocarbon receptor binding (GO:0017162)"	"4 of 8"	0.000101070090234524	0.00992171385802246	0	0	27.1181434599156	249.478684568625	"NCOA1;NCOA2;ARNT;TAF4"
"2698"	"transcription coactivator activity (GO:0003713)"	"24 of 291"	0.00013454049277637	0.0113206214636117	0	0	2.4739264053074	22.0517025808458	"ABT1;NCOA1;RNF20;PHF2;NCOA2;CREBBP;SMARCD2;SMARCB1;SMARCC2;SRCAP;NCOA6;MAX;ARID1A;SMARCA2;TAF5L;PIAS1;PER2;RXRA;KAT6A;EP300;MAML3;TAF4;GABPA;BCL9L"
"19"	"protein complex assembly (GO:0006461)"	"18 of 189"	0.000156634095271921	0.0211120856208794	0	0	2.88665710186514	25.2917293099542	"NSF;FARP2;KMT2D;GSK3B;CREBBP;SAR1B;SEC16A;TRAPPC10;TRAPPC9;GRHPR;BCL9;APC;MYC;NBR1;LEO1;EP300;SEC24C;BCL9L"
"20"	"retrograde transport, endosome to Golgi (GO:0042147)"	"11 of 82"	0.000156908848910289	0.0211120856208794	0	0	4.22843309859155	37.0404206566983	"SNX1;VPS51;DCTN1;TRAPPC10;GOSR1;VPS52;GBF1;WASHC2C;TBC1D14;ERC1;TBC1D10A"
"2699"	"core promoter proximal region sequence-specific DNA binding (GO:0000987)"	"23 of 278"	0.000175880957041219	0.0129492354621598	0	0	2.48039215686275	21.4447343389433	"KDM6B;SMAD1;CREBBP;GMEB1;SMARCD2;SMARCB1;SMARCC2;TCF12;NFATC3;FOXJ2;HSFX1;KLF4;ELK1;ESR1;SP2;RFX7;SP1;MYC;NFIC;UBTF;MEF2D;GABPA;MIXL1"
"21"	"negative regulation of circadian rhythm (GO:0042754)"	"4 of 9"	0.000176776598766568	0.0213365979711316	0	0	21.6933895921238	187.444417901252	"PER2;SIN3A;CIPC;CRY2"
"22"	"cytoskeletal anchoring at plasma membrane (GO:0007016)"	"4 of 9"	0.000176776598766568	0.0213365979711316	0	0	21.6933895921238	187.444417901252	"EPB41L3;DAG1;FLNB;ANK3"
"23"	"regulation of mitotic nuclear division (GO:0007088)"	"11 of 84"	0.000195129138986079	0.0213365979711316	0	0	4.11215753424658	35.1254285876139	"NME6;CHMP1B;VPS4B;INSR;NUP62;LRP5;SMC3;SMC1A;KIF20B;CCSAP;PPP1R9B"
"24"	"regulation of viral release from host cell (GO:1902186)"	"6 of 25"	0.00020222036150077	0.0213365979711316	0	0	8.58110014104372	72.9921469035384	"DDB1;TRIM62;VPS4B;CHMP3;TRIM26;MID2"
"25"	"regulation of mitotic spindle organization (GO:0060236)"	"7 of 35"	0.000203259121543585	0.0213365979711316	0	0	6.79978813559322	57.8051956728292	"DCTN1;VPS4B;CHMP1B;NUP62;SMC3;SMC1A;CCSAP"
"26"	"histone acetylation (GO:0016573)"	"10 of 71"	0.000206150705035088	0.0213365979711316	0	0	4.47017788629229	37.9379664659894	"NAA60;CREBBP;KAT6B;BRPF3;KAT6A;EP300;EPC1;KAT7;ELP4;TAF5L"
"27"	"endosomal transport (GO:0016197)"	"20 of 229"	0.000224504874366194	0.0223756524784973	0	0	2.6265533028123	22.0672847389784	"ZFYVE9;DCTN1;VPS33A;VPS4B;GBF1;GOSR1;WASHC2C;PTPN23;TRAK1;SNX1;VPS51;BLOC1S3;KIF13A;RAB35;MVB12B;VPS52;CHMP3;ERC1;ANKRD50;TBC1D10A"
"28"	"negative regulation of transcription from RNA polymerase II promoter (GO:0000122)"	"37 of 565"	0.000314868022212378	0.0302610659919111	0	0	1.93865926968803	15.6321017619083	"PRKN;HDAC5;ZNF174;NFIX;LDB1;TCF25;MAX;CTR9;OTUD7B;RTF1;ARHGAP35;RXRA;SIN3A;MYC;SUFU;HIVEP1;EPC1;EP300;ZNF366;MAP2K5;CREBBP;ZHX2;KDM2B;NFATC3;DAB2IP;RITA1;KLF4;SMARCA2;ESR1;BMP6;GATAD2A;PER2;SP2;NFIC;IRF2;CRY2;BCOR"
"29"	"positive regulation of catabolic process (GO:0009896)"	"9 of 62"	0.000337487483264013	0.0313165109470158	0	0	4.62579507189053	36.9785231647	"NSF;DDB1;PRKN;GSK3B;CDKN1B;APC;DAB2IP;WWP1;OAZ2"
"3286"	"nucleoplasm part (GO:0044451)"	"29 of 407"	0.000357744367647268	0.0155618799926561	0	0	2.11448547673037	16.7799052354146	"KMT2D;PAXIP1;SRCAP;MINDY1;PPP1R10;ABRAXAS1;TESK2;PTPN23;PRDM10;GTF2E1;DCAF7;POLR2A;HIVEP1;KAT7;NCOA2;CREBBP;RMI1;NCOA6;ARNT;ELP4;RPRD2;MAU2;MYO1C;KIF2A;TDP2;ZFP64;NBR1;TAF5;TAF4"
"3287"	"npBAF complex (GO:0071564)"	"4 of 11"	0.000437192419836548	0.0163010316539056	0	0	15.493670886076	119.845669102553	"SMARCC2;SMARCB1;ARID1A;SMARCA2"
"30"	"regulation of mitotic spindle assembly (GO:1901673)"	"5 of 19"	0.000440957118249931	0.0359580486427443	0	0	9.69366197183099	74.898689196839	"VPS4B;CHMP1B;SMC1A;SMC3;CCSAP"
"31"	"nucleosome disassembly (GO:0006337)"	"5 of 19"	0.000440957118249931	0.0359580486427443	0	0	9.69366197183099	74.898689196839	"SMARCD2;PBRM1;SMARCC2;SMARCB1;ARID1A"
"32"	"chromatin disassembly (GO:0031498)"	"5 of 19"	0.000440957118249931	0.0359580486427443	0	0	9.69366197183099	74.898689196839	"SMARCD2;PBRM1;SMARCC2;SMARCB1;ARID1A"
"33"	"intracellular estrogen receptor signaling pathway (GO:0030520)"	"5 of 19"	0.000440957118249931	0.0359580486427443	0	0	9.69366197183099	74.898689196839	"RBFOX2;NCOA6;DDX54;ARID1A;ESR1"
"2700"	"regulatory region DNA binding (GO:0000975)"	"19 of 224"	0.000460049924496874	0.0299550757155505	0	0	2.5407905803196	19.523880836809	"KMT2D;HDAC5;ZNF174;ATF6B;TCF12;HNF1A;KLF4;SMARCA2;NR5A2;RXRA;SP1;HIVEP1;KAT7;HIVEP2;BCOR;TAF5;MEF2D;GABPA;ZNF200"
"2701"	"protein homodimerization activity (GO:0042803)"	"41 of 664"	0.00050857513948303	0.0299550757155505	0	0	1.82219184476378	13.8193163335781	"NAA60;ZNF174;DGKD;LDB1;MAX;CALCOCO2;VPS4B;CHRNA7;CPOX;GIMAP7;CDH7;STK10;SNX1;EXO5;DROSHA;HIF1AN;PDK2;ZHX2;ZBTB38;TCF12;DAB2IP;TMEM192;NAGA;HOGA1;SLC51A;PRLR;RNF40;TIRAP;MID2;GRHPR;RRAGA;GDNF;SP1;CHMP3;MYH9;TMCC1;MASP1;KIF20B;MIXL1;ABCG1;ABCG2"
"34"	"positive regulation of cellular protein localization (GO:1903829)"	"9 of 66"	0.000542439180006399	0.0429324656881535	0	0	4.30028328611898	32.3356988859555	"PRKN;GSK3B;APC;NUP62;CEP250;KAT7;KIF20B;PCNT;OAZ2"
"35"	"positive regulation of protein catabolic process (GO:0045732)"	"10 of 81"	0.000609092773874103	0.0468305329855775	0	0	3.83857756467885	28.419062404261	"NSF;DDB1;PRKN;GSK3B;CDKN1B;APC;DAB2IP;WWP1;GPLD1;OAZ2"
"36"	"negative regulation of nucleic acid-templated transcription (GO:1903507)"	"30 of 444"	0.000686000107434717	0.0512785080307451	0	0	1.99629747170211	14.5422939882719	"ZNF253;HDAC5;ZNF174;CDKN1B;LDB1;ZC3H4;CIPC;UBP1;ARHGAP35;RPS6KA5;SIN3A;BAHD1;EPC1;ZHX2;RBFOX2;SMARCC2;ZBTB38;DAB2IP;WWP1;FOXN3;KLF4;SMARCA2;CBFA2T3;GATAD2A;PER2;KAT6B;KAT6A;CRY2;BCOR;ZNF674"
"37"	"histone ubiquitination (GO:0016574)"	"5 of 21"	0.000727241130286041	0.0528920508540469	0	0	8.48107394366197	61.2863814225478	"RNF20;CTR9;LEO1;WAC;RNF40"
"38"	"histone H3 acetylation (GO:0043966)"	"7 of 43"	0.000760326427105792	0.0538431161932022	0	0	5.28652699309479	37.9665824114483	"LDB1;BRPF3;KAT6B;KAT6A;KAT7;ELP4;TAF5L"
"39"	"Golgi vesicle transport (GO:0048193)"	"21 of 271"	0.000782270382215625	0.0539766563728781	0	0	2.30394812680115	16.4808554511028	"ARF3;NSF;NBAS;F10;SAR1B;DCTN1;TRAPPC10;GBF1;GOSR1;TEX261;ANK3;ARFGAP2;SNX1;KIF2A;VPS51;RAB35;MYO18A;TBC1D14;COPG1;SEC24C;TMED4"
"2702"	"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)"	"6 of 32"	0.000836302671410257	0.0422689590624686	0	0	6.268525550613	44.422031454633	"ADAP2;PARD3;GBF1;WASHC2C;GAB2;ARAP1"
"3288"	"AP-1 adaptor complex (GO:0030121)"	"3 of 6"	0.000839241605485198	0.0273802573789546	0	0	27.0814606741573	191.81830888942	"AFTPH;SYNRG;LDLRAP1"
"40"	"protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0042787)"	"9 of 70"	0.000839742335371144	0.0564936656120937	0	0	4.01746157061255	28.4533319247587	"PRKN;MYLIP;KBTBD4;RMND5A;KLHL25;WWP1;UBE3A;FBXO7;RNF185"
"2703"	"transcription regulatory region sequence-specific DNA binding (GO:0000976)"	"22 of 292"	0.00086116724745267	0.0422689590624686	0	0	2.23574368018812	15.7781390937841	"PRKN;CREBBP;KDM3B;ATF6B;MAX;HNF1A;ARID3C;KLF4;BTBD8;ESR1;ARHGAP35;GATAD2A;PER2;NR5A2;RXRA;SP1;SIN3A;BAHD1;IRF2;CRY2;MEF2D;MIXL1"
"41"	"cellular response to ammonium ion (GO:0071242)"	"5 of 23"	0.00113344295738634	0.0743925609347962	0	0	7.53794992175274	51.1261107722367	"GABRB3;PRKN;MAPK1;GABPA;PPP1R9B"
"42"	"positive regulation of nucleic acid-templated transcription (GO:1903508)"	"32 of 502"	0.00121848168613682	0.078069862318909	0	0	1.87558019999377	12.585423944175	"KDM8;LRP5;ELK1;CAMKK2;ZXDA;MYC;ZXDC;NUP62;EPC1;EP300;PCBD2;RNF20;NCOA1;CREBBP;SMARCC2;NCOA6;ARNT;FOXN3;HNF1A;KLF4;RGMB;ARID1A;BTBD8;SMARCA2;ESR1;PIAS1;NR5A2;KAT6B;SP1;KAT6A;WAC;TAF4"
"2704"	"RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)"	"20 of 262"	0.00123917936407946	0.056144357341754	0	0	2.26446280991736	15.1567423348975	"KDM6B;SMAD1;GMEB1;SMARCD2;SMARCB1;SMARCC2;TCF12;NFATC3;FOXJ2;HSFX1;ELK1;ESR1;SP2;RFX7;SP1;MYC;NFIC;MEF2D;GABPA;MIXL1"
"43"	"Golgi to plasma membrane protein transport (GO:0043001)"	"5 of 24"	0.00139002188625776	0.0842201408118593	0	0	7.14084507042254	46.9755907567935	"NSF;GOLGA4;KIF13A;ANK3;OPTN"
"2705"	"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)"	"21 of 284"	0.00141121993832208	0.0593720388336932	0	0	2.18856904921051	14.3642368693769	"SMAD1;FOXD2;ATF6B;TCF12;NFATC3;FOXJ2;HNF1A;FOXO4;ARID3C;KLF4;ELK1;ESR1;SPIB;SP1;MYC;NFIC;IRF2;SHOX;MEF2D;GABPA;MIXL1"
"44"	"positive regulation of autophagy of mitochondrion (GO:1903599)"	"3 of 7"	0.00142966995229456	0.0842201408118593	0	0	20.3100421348315	133.037105890911	"PRKN;FBXO7;CAMKK2"
"45"	"modification by symbiont of host morphology or physiology (GO:0044003)"	"3 of 7"	0.00142966995229456	0.0842201408118593	0	0	20.3100421348315	133.037105890911	"RRAGA;RXRA;DAG1"
"3289"	"H3 histone acetyltransferase complex (GO:0070775)"	"3 of 7"	0.00142966995229456	0.0373143857548881	0	0	20.3100421348315	133.037105890911	"BRPF3;KAT6B;KAT6A"
"3290"	"MOZ/MORF histone acetyltransferase complex (GO:0070776)"	"3 of 7"	0.00142966995229456	0.0373143857548881	0	0	20.3100421348315	133.037105890911	"BRPF3;KAT6B;KAT6A"
"46"	"response to endoplasmic reticulum stress (GO:0034976)"	"11 of 106"	0.00143966052669845	0.0842201408118593	0	0	3.15625	20.6524419310006	"PRKN;GSK3B;MBTPS1;ATF6B;SEL1L;TMTC3;DAB2IP;TXNDC11;ATP2A2;ANKS4B;RNF185"
